Date,Actual Revenue
46611588.93,164171
46611589.78,217564
46697990.52,492014
46697991.09,572852
46697991.72,36926
46697992.4,283432
46697993.04,267963
46697993.54,49900
45488394.07,694608
46957194.69,374749
46957196.22,558381
46438797.76,1249995
46957198.41,93812
46611599.12,196107
47043599.71,394210
42291600.31,2347795
47043602.4,263472
47043603.08,234031
47043603.7,120758
47043604.32,215069
47130005.55,120758
34864806.13,242015
47130006.88,136227
33828007.58,193612
46525208.49,1554385
47130009.23,591814
47216409.84,220059
47216410.44,348801
47216410.96,225049
47216411.37,13972
47302812.08,469559
47302812.65,180638
47302813.18,271456
37971614.08,376745
47302814.88,394709
45315615.47,283432
47565617.05,88822
47652017.81,898200
47652018.45,284430
47738419.11,229540
47738419.68,179640
47738420.96,1509475
47738421.61,72355
47738422.13,1609275
47738422.85,226546
47824823.46,168662
47824824.07,167165
48170424.81,2844300
48256825.82,256486
48256826.66,152694
48343227.43,364270
48343228.06,330837
48343228.71,284929
48343229.41,487024
48343230.5,585327
48343231.09,3273440
48429631.68,277444
48429632.33,161177
46438833.16,583830
44883633.7,279939
48516035.44,104291
48516035.89,618760
48516036.49,88323
48516037.21,446605
48775237.71,194111
48775238.33,76347
48775239.17,234031
48775239.95,359779
47652040.71,129740
48775241.72,346306
48861644.33,281436
48861645.05,169161
48861646.11,240019
48861647.35,711574
48861648.16,60878
48861649.9,169161
48861650.5,3959565
48948051.79,440617
48948052.53,226546
48948053.66,330338
48948054.06,25449
49034454.49,40918
47652056.25,204590
49120857.39,205089
49120858.06,34930
49120858.72,226047
49380059.68,177644
49380060.32,88822
49380060.82,226546
49380061.47,50399
47130063.29,438621
49466463.89,25948
49466464.76,479539
47652065.47,166167
49034466.03,77345
49552868.62,286925
49552869.6,111776
49552871.2,40918
49639271.83,86327
49639272.4,170159
49639272.94,848300
49552874.54,783430
49639275.28,408182
49984876.62,211576
49984877.46,158682
49984878.95,151696
46611679.48,2470050
49984880.07,181137
49984880.6,135728
49984881.67,149700
50071282.24,249001
50071283.78,105788
50157684.39,289919
50157685,544409
50157685.63,108283
50157686.22,319360
50244086.89,502493
50244087.44,387723
50244088.57,251496
50330489.44,222055
50330490.12,299899
50330492.9,200099
50330493.38,41417
50330494.21,1544405
50589694.84,309380
50589695.7,391216
50589697.96,152694
50589698.52,582333
50589699.12,769957
50589699.63,183133
50589700.27,520457
50589703.05,405687
50676103.66,153193
50676104.27,652193
50676104.87,516465
50762505.4,238522
50762505.95,306885
50762507.04,1034427
50762507.67,87325
50762508.65,515467
50762509.78,69361
50848911.32,591315
50848913.07,316366
50935313.66,741015
50935314.74,253492
50935315.42,4328825
51194516.61,297404
51194517.06,21457
51194517.95,360278
51194518.71,243512
51280919.29,269460
51280919.9,329839
51280920.91,362274
51367322.58,326845
51367323.08,266965
51453724.13,384729
51453725.35,322354
51540125.96,182135
51799327.57,130239
51799328.17,227544
51885728.95,2270450
51885731.09,420158
51972133.97,126746
51972134.67,931134
50330535.51,503990
51972136.12,813370
35210536.74,443112
52058538.66,155688
50330539.43,1162670
51540140.63,312374
51972141.26,407683
52144941.93,683630
52144942.46,141217
52144943.08,258981
52144943.65,175648
52144944.34,280438
52404146.96,435128
52404147.56,1228039
52404148.28,193113
52404148.9,402194
52490549.52,149700
52490550.19,302394
52490550.83,185628
52490552.34,263472
52490554.04,652692
52490554.64,858280
52490555.24,654688
52576955.85,278442
52576956.53,437623
52576957.09,213073
52576957.67,149201
52576958.38,306885
52663358.93,186626
52663359.48,149201
52663360.07,162674
52663360.59,401695
47130162.39,408182
53008963.53,320857
53008964.31,210578
53008965.12,60379
53008965.9,302394
53008966.54,419160
53008967.24,184630
53008967.83,249500
53008969.49,277444
37971770.75,251496
53095371.62,347304
52576972.88,436625
53095373.47,109780
53095375.62,189121
83767376.31,134231
53181777.11,481535
53181777.88,403192
53181778.48,187624
53268179.37,276945
53268180.19,128742
53354581.47,738021
53613782.14,119261
53613782.94,213572
53613784.75,397703
53613785.55,190119
53613786.15,270458
53613787.8,79840
53613788.35,368262
53613789.23,412174
53613790.14,385228
53613790.78,284929
53613793.36,222055
53700193.97,163672
